filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0364_L.wav,FEA,3.1,SAD,2.52,0.26,0.03,0.16,(F ん)なるほどね,0.27,0.31,0.23,0.95
0370_L.wav,FEA,2.31,SAD,2.27,0.38,0.21,0.28,大変ですね,0.14,0.38,0.32,1.31
0374_L.wav,ACC,5.91,ACC,5.9,0.85,0.72,0.65,そうですね,0.43,0.37,0.34,3.45
0377_L.wav,ANT,0.78,ANG,0.85,0.18,0.29,0.39,また大変でしょう小学校入ったら入ったでねきっとね,0.67,0.43,0.26,5.05
0381_L.wav,ANT,0.94,ANT,1.19,0.28,0.52,0.5,でも男の子だと,0.07,0.47,0.39,1.32
0385_L.wav,FEA,2.52,SAD,1.48,0.45,0.03,0.13,(F ええ)いいんじゃないですかね,0.25,0.44,0.39,0.1
0387_L.wav,SAD,2.62,ACC,1.63,0.59,0.61,0.6,そうかあたしももう異常に子供欲しくなりましたよ,0.14,0.58,0.47,0.15
0389_L.wav,SAD,3.44,SAD,3.61,0.43,0.18,0.24,(F うーん),0.16,0.43,0.36,1.98
0405_L.wav,DIS,3.23,DIS,0.6,0.43,0.61,0.59,<息>,0.04,0.55,0.42,0.94
0409_L.wav,SAD,5.8,DIS,4.87,0.28,0.17,0.21,(F うーん),0.15,0.44,0.38,4.27
0410_L.wav,ANG,3.03,FEA,1.62,0.68,0.73,0.7,何か今までのこう経緯が全部,0.4,0.56,0.49,3.25
0435_L.wav,FEA,3.2,SUR,3.69,0.75,0.66,0.63,<笑>,0.41,0.6,0.51,1.74
0438_L.wav,SAD,4.61,ACC,4.34,0.38,0.26,0.27,分かり(D ま),0.37,0.4,0.36,0.65
0442_L.wav,SAD,3.36,SAD,2.16,0.61,0.7,0.66,離れていればね,0.33,0.51,0.37,1.05
0447_L.wav,FEA,3.84,SAD,0.71,0.39,0.09,0.22,なるほどね,0.54,0.73,0.55,2.0
0479_L.wav,ANT,2.97,ACC,5.59,0.35,0.11,0.16,(F ええ),0.28,0.3,0.31,4.31
0482_L.wav,SAD,2.3,SUR,-0.37,0.46,0.48,0.52,西に多いんですか,0.11,0.37,0.36,5.96
0485_L.wav,FEA,1.09,SAD,0.24,0.41,0.17,0.23,やっぱ西,0.05,0.31,0.29,0.61
0497_L.wav,FEA,2.72,SAD,3.13,0.32,-0.06,-0.0,(F ふーん),0.07,0.31,0.32,2.78
0500_L.wav,SUR,1.78,SUR,1.98,0.88,0.79,0.72,<笑>,0.56,0.85,0.72,1.15
0504_L.wav,DIS,4.0,DIS,2.11,0.32,0.04,0.16,そうなんだ,0.58,0.67,0.52,0.15
0505_L.wav,SAD,2.21,ACC,1.88,0.32,0.55,0.58,(F あ)そうだあたしの友達の(A アイシーユー;ＩＣＵ)の子も,0.0,0.51,0.42,0.23
