filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0212_R.wav,ACC,-1.42,ACC,4.07,0.92,0.78,0.75,<笑>,0.56,0.31,0.27,2.51
0215_R.wav,SAD,2.72,SAD,3.57,0.29,0.0,0.07,(F うん)(F うん),0.63,0.78,0.68,0.5
0219_R.wav,ANT,3.69,ACC,2.37,0.6,0.56,0.54,(F はい)そうです,0.31,0.56,0.47,1.2
0259_R.wav,ACC,3.62,DIS,3.74,0.26,0.05,0.11,(F うーん),0.62,0.7,0.6,1.61
0260_R.wav,ACC,4.15,ACC,3.52,0.38,0.42,0.37,(F う)そうですね,0.12,0.37,0.26,0.22
0268_R.wav,ACC,2.1,ACC,2.24,0.31,0.02,0.11,(F うーん),0.31,0.38,0.34,2.44
0269_R.wav,FEA,1.49,SAD,2.91,0.65,0.55,0.48,んでまたお迎えが早いんですよ,0.34,0.53,0.37,0.67
0287_R.wav,ACC,1.19,SAD,2.5,0.36,0.11,0.18,(F うーん),0.23,0.44,0.37,0.96
0288_R.wav,ANT,1.27,ANT,1.75,0.69,0.56,0.54,(F うーん)やっぱり一番目男の子っていうのは大変らしいですね,0.33,0.45,0.36,0.75
0290_R.wav,SAD,2.7,SAD,1.97,0.35,0.04,0.11,(F うーん),0.34,0.52,0.43,0.22
0291_R.wav,ANT,1.12,ANT,2.09,0.45,0.48,0.49,(F い)何かと今のとこ一人です(F はい),0.1,0.44,0.38,0.12
0294_R.wav,SAD,1.06,ACC,3.44,0.33,0.16,0.21,(F ふーん),0.12,0.32,0.28,1.35
0305_R.wav,ACC,1.37,ACC,2.62,0.27,-0.0,0.1,(F うーん),0.18,0.37,0.32,1.81
0309_R.wav,ACC,2.91,DIS,4.24,0.35,0.34,0.37,(F あー),0.08,0.34,0.27,1.62
0313_R.wav,SUR,-0.29,SAD,2.19,0.91,0.73,0.71,<笑>,0.48,0.35,0.39,0.16
0319_R.wav,ACC,2.04,SAD,3.77,0.31,0.08,0.15,(F うーん),0.58,0.67,0.57,1.2
0321_R.wav,ACC,1.96,ACC,1.83,0.69,0.55,0.54,そうですねやっぱり初めはなかなか夜寝られないこと<FV>,0.38,0.47,0.39,1.94
0324_R.wav,ANT,1.12,FEA,2.85,0.2,0.25,0.35,もう本当万年睡眠不足状態,0.49,0.3,0.19,1.02
0326_R.wav,ANT,0.69,ANT,1.07,0.61,0.6,0.57,後やっぱり(F うーん)(?)これを語り出すともう大変なんですけどやっぱりおしゅうとめさん達との,0.41,0.35,0.22,1.78
0330_R.wav,SAD,1.9,ACC,2.93,0.31,0.09,0.1,(F うーん),0.12,0.45,0.43,1.59
0331_R.wav,SUR,0.38,SUR,2.65,0.86,0.71,0.69,<笑>,0.55,0.62,0.59,0.28
0346_R.wav,SAD,2.36,DIS,3.02,0.35,0.12,0.2,(F うーん),0.23,0.39,0.3,1.48
0348_R.wav,ACC,-2.56,SUR,1.21,0.81,0.64,0.62,<笑>,0.46,0.35,0.31,1.18
0350_R.wav,SAD,2.48,ACC,4.14,0.44,0.33,0.4,そうなんですよね(F うーん),0.37,0.31,0.22,2.93
0355_R.wav,SAD,1.42,ANG,0.84,0.61,0.57,0.52,だから幼稚園,0.3,0.31,0.31,1.37
0375_R.wav,SUR,2.76,SUR,3.75,0.98,0.81,0.77,<笑>,0.28,0.39,0.32,2.63
0376_R.wav,FEA,4.88,FEA,3.08,0.36,0.5,0.37,<笑>,0.62,0.31,0.4,0.67
0386_R.wav,SUR,-0.71,SAD,2.82,0.79,0.64,0.62,<笑>,0.31,0.39,0.29,0.22
0401_R.wav,ACC,2.44,DIS,2.84,0.34,0.13,0.19,(F うーん),0.51,0.5,0.44,1.33
0402_R.wav,ACC,-1.98,ACC,4.76,0.92,0.78,0.76,<笑>,0.58,0.65,0.57,1.92
0404_R.wav,ACC,2.6,ACC,2.96,0.3,0.1,0.21,そうなんですよ(D お),0.62,0.68,0.55,1.8
0406_R.wav,ANT,3.48,DIS,1.72,0.41,0.43,0.46,だから(F まー),0.11,0.33,0.25,1.24
0416_R.wav,ACC,4.12,ACC,4.55,0.38,0.23,0.28,(F うーん),0.0,0.36,0.28,2.33
0421_R.wav,SUR,-1.77,SUR,2.47,0.92,0.82,0.77,<笑>,0.58,0.69,0.59,1.57
0446_R.wav,ACC,2.55,ACC,2.84,0.46,0.25,0.34,そうなんですよ,0.12,0.42,0.32,0.09
0456_R.wav,SUR,1.2,JOY,0.31,0.2,0.65,0.63,要するに何か,0.06,0.58,0.48,1.15
0457_R.wav,SAD,1.53,JOY,-0.64,0.34,0.36,0.35,単純な,0.14,0.29,0.28,0.95
0458_R.wav,ANT,3.12,SUR,2.68,0.26,-0.0,0.07,(F えーとー),0.08,0.36,0.28,3.32
0459_R.wav,ANG,0.96,DIS,2.07,0.3,0.56,0.58,大学入る時も何かありますよね何でしたっけ名前忘れたけど,0.04,0.56,0.51,0.61
0470_R.wav,ACC,3.25,ACC,4.11,0.4,0.09,0.2,(F うーん),0.18,0.52,0.36,1.96
0474_R.wav,SAD,1.0,ACC,1.19,0.4,0.41,0.42,(F はい),0.0,0.32,0.22,2.92
0483_R.wav,SAD,2.25,SAD,0.63,0.43,0.6,0.61,やっぱり西,0.26,0.53,0.43,0.99
0486_R.wav,ACC,1.32,SAD,0.37,0.39,0.25,0.31,にあったりしましたね,0.22,0.3,0.24,1.31
0490_R.wav,SAD,3.09,DIS,3.22,0.46,0.44,0.39,(F あ)(F ええ)<FV>,0.1,0.32,0.18,1.23
0496_R.wav,ANT,0.93,ANG,2.16,0.35,0.44,0.5,五つも応募したかな(D し)五つしたかしないかぐらいですね,0.01,0.32,0.32,0.26
0508_R.wav,ACC,2.36,ACC,2.58,0.52,0.41,0.42,(F あー)そうですか,0.11,0.3,0.15,0.87
